Name	saMskRta-nAma	Lat	Long	Timezone	TZFloat
Vishakhapatnam		17.73	83.32	Asia/Calcutta	5.5
Vizianagaram		18.12	83.42	Asia/Calcutta	5.5
Vrindavan		27.58	77.7	Asia/Calcutta	5.5
Wanparti		16.36	78.06	Asia/Calcutta	5.5
Warangal		17.98	79.6	Asia/Calcutta	5.5
Yavatmal		20.4	78.13	Asia/Calcutta	5.5
Yellandu		17.6	80.33	Asia/Calcutta	5.5
Yercaud		11.7747917	78.1921956	Asia/Calcutta	5.5
Warrawee		-33.7292287	151.1249595	Australia/NSW	10.0
Sammamish		47.6059848	-122.0282373	US/Pacific	-7.0
Seattle		47.0571799	-137.5684287	US/Pacific	-7.0
Nashville		36.1866405	-86.7852455	US/Central	-5.0
Mauritius		-20.2191771	57.2851023	Indian/Mauritius	4.0
McKinney		33.236594	-96.684378	US/Central	-5.0
Singapore		1.3930236	103.7412441	Asia/Singapore	8.0
SanFrancisco		37.2323916	-122.2673119	America/Los_Angeles	-7.0
Sunnyvale		37.3957342	-122.023868	America/Los_Angeles	-7.0
LosAltos		37.3679247	-122.1538679	America/Los_Angeles	-7.0
LosGatos		37.2333434	-121.9515351	America/Los_Angeles	-7.0
SanDiego		33.0368876	-117.065848	America/Los_Angeles	-7.0
Northwood		51.619	-0.435	Europe/London	1.0
Budapest		47.532	18.9927238	Europe/Budapest	2.0
Lisbon		38.7440795	-9.1597358	Europe/Lisbon	1.0
Toronto		43.7182412	-79.3780581	America/Toronto	-4.0
Brampton		43.6622912	-79.7978048	America/Toronto	-4.0
Amsterdam		52.3546656	4.9039604	Europe/Amsterdam	2.0
Sydney		-33.8482439	150.9319747	Australia/Sydney	10.0
Rotterdam		51.9278829	4.3347748	Europe/Amsterdam	2.0
Phoenix		33.6038463	-112.7494903	America/Phoenix	-7.0
Oviedo		28.669997	-81.2051	America/New_York	-4.0
Erin		43.699200	-80.135600	America/Toronto	-4.0
